date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:31:40	9231/9231	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Mar%202013%2021:31:38%20GMT	http://shii.org/knows/Special:WhatLinksHere/ITT_we_discuss_the_crazies	C:/My%20Web%20Sites/shii/shii.org/knows/Special_WhatLinksHere/ITT_we_discuss_the_crazieshtml.html	(from http://shii.org/knows/ITT_we_discuss_the_crazies)
00:31:41	16502/16502	---M--	200	added ('OK')	image/png	etag:%224076-42d6059876b40%22	http://shii.org/mediawiki/images/2/22/Pixie.png	C:/My%20Web%20Sites/shii/shii.org/mediawiki/images/2/22/Pixie.png	(from http://shii.org/knows/Nurse-kun)
00:31:41	5956/5956	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Mar%202013%2021:31:39%20GMT	http://shii.org/knows/1166465028123.png	C:/My%20Web%20Sites/shii/shii.org/knows/1166465028123.71b.delayed	(from http://shii.org/knows/Nurse-kun)
00:31:42	8999/8999	---MC-	200	added ('OK')	text/html	date:Sat,%2002%20Mar%202013%2021:31:40%20GMT	http://shii.org/knows/Special:WhatLinksHere/File:1166465028123.png	C:/My%20Web%20Sites/shii/shii.org/knows/Special_WhatLinksHere/File_1166465028123.html	(from http://shii.org/knows/Nurse-kun)
00:31:43	5866/5866	---MC-	404	error ('Not%20Found')	text/html	date:Sat,%2002%20Mar%202013%2021:31:41%20GMT	http://shii.org/knows/11776487.jpg	C:/My%20Web%20Sites/shii/shii.org/knows/11776487.71f.delayed	(from http://shii.org/knows/Nurse-kun)
00:31:43	20299/20299	---M--	200	added ('OK')	image/png	etag:%224f4b-4415656da90c0%22	http://shii.org/mediawiki/images/thumb/6/67/1166465028123.png/120px-1166465028123.png	C:/My%20Web%20Sites/shii/shii.org/mediawiki/images/thumb/6/67/1166465028123.png/120px-1166465028123.png	(from http://shii.org/knows/Nurse-kun)
00:31:45	6213/6213	---M--	200	added ('OK')	image/jpeg	etag:%221845-44042acfb1d40%22	http://shii.org/mediawiki/images/archive/b/bd/20091110081735%2111776487.jpg	C:/My%20Web%20Sites/shii/shii.org/mediawiki/images/archive/b/bd/20091110081735!11776487.jpg	(from http://shii.org/knows/Nurse-kun)
00:31:45	2768/2768	---M--	200	added ('OK')	image/jpeg	etag:%22ad0-477fff162ea40%22	http://shii.org/mediawiki/images/thumb/archive/b/bd/20091110081735%2111776487.jpg/120px-11776487.jpg	C:/My%20Web%20Sites/shii/shii.org/mediawiki/images/thumb/archive/b/bd/20091110081735!11776487.jpg/120px-11776487.jpg	(from http://shii.org/knows/Nurse-kun)
00:31:46	2418/2418	---M--	200	added ('OK')	image/jpeg	etag:%22972-44041dfb3d840%22	http://shii.org/mediawiki/images/archive/b/bd/20071202002356%2111776487.jpg	C:/My%20Web%20Sites/shii/shii.org/mediawiki/images/archive/b/bd/20071202002356!11776487.jpg	(from http://shii.org/knows/Nurse-kun)
00:31:46	2484/2484	---M--	200	added ('OK')	image/jpeg	etag:%229b4-472524eb1c300%22	http://shii.org/mediawiki/images/thumb/archive/b/bd/20071202002356%2111776487.jpg/120px-11776487.jpg	C:/My%20Web%20Sites/shii/shii.org/mediawiki/images/thumb/archive/b/bd/20071202002356!11776487.jpg/120px-11776487.jpg	(from http://shii.org/knows/Nurse-kun)
